000	-1150
005	-1100
010	-1050
015	-1000
020	-0950
025	-0900
030	-0850
035	-0800
040	-0750
045	-0700
050	-0650
055	-0600
060	-0550
065	-0500
070	-0450
075	-0400
080	-0350
085	-0300
090	-0250
095	-0200
100	-0150
105	-0100
110	-0050
115	 0000
120	 0050
125	 0100
130	 0150
135	 0200
140	 0250
145	 0300
150	 0350
155	 0400
160	 0450
165	 0500
170	 0550
175	 0600
180	 0650
185	 0700
190	 0750
195	 0800
200	 0850
205	 0900
210	 0950
215	 1000
220	 1050
225	 1100
230	 1150
235	 1200
